,,,,,,,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022
Skyline,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Female,,,117,0,51.77 %,0.00 %,71,0,61.74 %,0.00 %,93,0,53.76 %,0.00 %,106,0,53.00 %,0.00 %,76,0,53.15 %,0.00 %,92,0,57.86 %,0.00 %,95,0,54.29 %,0.00 %,51,0,52.04 %,0.00 %,125,0,60.39 %,0.00 %
Skyline,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Male,,,104,0,46.02 %,0.00 %,41,0,35.65 %,0.00 %,78,0,45.09 %,0.00 %,91,1,45.50 %,100.00 %,66,0,46.15 %,0.00 %,66,0,41.51 %,0.00 %,76,0,43.43 %,0.00 %,44,0,44.90 %,0.00 %,77,0,37.20 %,0.00 %
Skyline,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Unknown,,,5,0,2.21 %,0.00 %,3,0,2.61 %,0.00 %,2,0,1.16 %,0.00 %,3,0,1.50 %,0.00 %,1,0,0.70 %,0.00 %,1,0,0.63 %,0.00 %,4,0,2.29 %,0.00 %,3,0,3.06 %,0.00 %,5,0,2.42 %,0.00 %
Skyline,San Mateo CCD,High School Graduate Without A College Degree,Received a California High School Proficiency Certificate,Female,,,37,0,45.12 %,0.00 %,23,0,47.92 %,0.00 %,39,0,48.75 %,0.00 %,31,0,46.97 %,0.00 %,23,0,53.49 %,0.00 %,27,0,45.76 %,0.00 %,28,0,49.12 %,0.00 %,11,0,42.31 %,0.00 %,31,0,47.69 %,0.00 %
Skyline,San Mateo CCD,High School Graduate Without A College Degree,Received a California High School Proficiency Certificate,Male,,,41,0,50.00 %,0.00 %,23,0,47.92 %,0.00 %,37,0,46.25 %,0.00 %,32,0,48.48 %,0.00 %,18,0,41.86 %,0.00 %,29,1,49.15 %,100.00 %,27,0,47.37 %,0.00 %,15,0,57.69 %,0.00 %,28,0,43.08 %,0.00 %
Skyline,San Mateo CCD,High School Graduate Without A College Degree,Received a California High School Proficiency Certificate,Unknown,,,4,0,4.88 %,0.00 %,2,0,4.17 %,0.00 %,4,0,5.00 %,0.00 %,3,0,4.55 %,0.00 %,2,0,4.65 %,0.00 %,3,0,5.08 %,0.00 %,2,0,3.51 %,0.00 %,,,0.00 %,0.00 %,6,0,9.23 %,0.00 %
Skyline,San Mateo CCD,High School Graduate Without A College Degree,Received High School Diploma,Female,,,"2,524",0,50.08 %,0.00 %,"2,242",3,57.68 %,100.00 %,"2,637",5,51.22 %,71.43 %,"2,503",4,52.39 %,50.00 %,"1,670",3,56.59 %,100.00 %,"2,206",6,49.16 %,54.55 %,"2,236",4,50.91 %,100.00 %,"1,537",2,53.31 %,100.00 %,"2,228",3,48.02 %,60.00 %
Skyline,San Mateo CCD,High School Graduate Without A College Degree,Received High School Diploma,Male,,,"2,400",5,47.62 %,100.00 %,"1,578",0,40.60 %,0.00 %,"2,408",2,46.78 %,28.57 %,"2,184",4,45.71 %,50.00 %,"1,220",0,41.34 %,0.00 %,"2,203",4,49.10 %,36.36 %,"2,068",0,47.09 %,0.00 %,"1,292",0,44.81 %,0.00 %,"2,329",2,50.19 %,40.00 %
Skyline,San Mateo CCD,High School Graduate Without A College Degree,Received High School Diploma,Unknown,,,116,0,2.30 %,0.00 %,67,0,1.72 %,0.00 %,103,0,2.00 %,0.00 %,91,0,1.90 %,0.00 %,61,0,2.07 %,0.00 %,78,1,1.74 %,9.09 %,88,0,2.00 %,0.00 %,54,0,1.87 %,0.00 %,83,0,1.79 %,0.00 %
Skyline,San Mateo CCD,Not A High School Graduate,Currently enrolled in adult school,Female,,,41,0,58.57 %,0.00 %,23,0,65.71 %,0.00 %,37,0,62.71 %,0.00 %,33,0,60.00 %,0.00 %,17,0,73.91 %,0.00 %,33,0,66.00 %,0.00 %,28,0,52.83 %,0.00 %,11,0,73.33 %,0.00 %,16,0,53.33 %,0.00 %
Skyline,San Mateo CCD,Not A High School Graduate,Currently enrolled in adult school,Male,,,27,0,38.57 %,0.00 %,12,0,34.29 %,0.00 %,21,0,35.59 %,0.00 %,20,0,36.36 %,0.00 %,5,0,21.74 %,0.00 %,16,0,32.00 %,0.00 %,24,0,45.28 %,0.00 %,4,0,26.67 %,0.00 %,13,0,43.33 %,0.00 %
Skyline,San Mateo CCD,Not A High School Graduate,Currently enrolled in adult school,Unknown,,,2,0,2.86 %,0.00 %,,,0.00 %,0.00 %,1,0,1.69 %,0.00 %,2,0,3.64 %,0.00 %,1,0,4.35 %,0.00 %,1,0,2.00 %,0.00 %,1,0,1.89 %,0.00 %,,,0.00 %,0.00 %,1,0,3.33 %,0.00 %
Skyline,San Mateo CCD,Not A High School Graduate,"Not a graduate of, and no longer enrolled in high school",Female,,,68,1,53.13 %,100.00 %,54,0,65.85 %,0.00 %,62,0,55.86 %,0.00 %,64,1,58.72 %,100.00 %,36,0,65.45 %,0.00 %,62,0,60.78 %,0.00 %,59,0,56.19 %,0.00 %,32,0,56.14 %,0.00 %,63,0,64.29 %,0.00 %
Skyline,San Mateo CCD,Not A High School Graduate,"Not a graduate of, and no longer enrolled in high school",Male,,,58,0,45.31 %,0.00 %,28,0,34.15 %,0.00 %,46,0,41.44 %,0.00 %,44,0,40.37 %,0.00 %,19,0,34.55 %,0.00 %,39,0,38.24 %,0.00 %,43,0,40.95 %,0.00 %,25,0,43.86 %,0.00 %,34,1,34.69 %,100.00 %
Skyline,San Mateo CCD,Not A High School Graduate,"Not a graduate of, and no longer enrolled in high school",Unknown,,,2,0,1.56 %,0.00 %,,,0.00 %,0.00 %,3,0,2.70 %,0.00 %,1,0,0.92 %,0.00 %,,,0.00 %,0.00 %,1,0,0.98 %,0.00 %,3,0,2.86 %,0.00 %,,,0.00 %,0.00 %,1,0,1.02 %,0.00 %
Skyline,San Mateo CCD,Special Admit student,Special Admit student currently enrolled in K-12,Female,,,894,0,50.28 %,0.00 %,596,0,57.09 %,0.00 %,823,0,54.18 %,0.00 %,"1,288",0,55.73 %,0.00 %,641,1,59.57 %,100.00 %,802,1,48.78 %,100.00 %,"1,333",0,50.61 %,0.00 %,522,0,55.24 %,0.00 %,960,0,49.64 %,0.00 %
Skyline,San Mateo CCD,Special Admit student,Special Admit student currently enrolled in K-12,Male,,,836,0,47.02 %,0.00 %,427,0,40.90 %,0.00 %,679,1,44.70 %,100.00 %,992,0,42.93 %,0.00 %,407,0,37.83 %,0.00 %,790,0,48.05 %,0.00 %,"1,199",0,45.52 %,0.00 %,383,0,40.53 %,0.00 %,910,0,47.05 %,0.00 %
Skyline,San Mateo CCD,Special Admit student,Special Admit student currently enrolled in K-12,Unknown,,,48,0,2.70 %,0.00 %,21,0,2.01 %,0.00 %,17,0,1.12 %,0.00 %,31,0,1.34 %,0.00 %,28,0,2.60 %,0.00 %,52,0,3.16 %,0.00 %,102,0,3.87 %,0.00 %,40,0,4.23 %,0.00 %,64,0,3.31 %,0.00 %
Skyline,San Mateo CCD,Unknown,Unknown / unreported,Female,,,123,0,40.07 %,0.00 %,62,0,34.07 %,0.00 %,117,0,39.93 %,0.00 %,124,0,44.60 %,0.00 %,42,0,43.30 %,0.00 %,115,0,47.52 %,0.00 %,135,0,52.94 %,0.00 %,53,0,53.00 %,0.00 %,131,0,52.40 %,0.00 %
Skyline,San Mateo CCD,Unknown,Unknown / unreported,Male,,,184,0,59.93 %,0.00 %,120,0,65.93 %,0.00 %,176,0,60.07 %,0.00 %,154,0,55.40 %,0.00 %,55,0,56.70 %,0.00 %,127,0,52.48 %,0.00 %,120,0,47.06 %,0.00 %,47,0,47.00 %,0.00 %,118,0,47.20 %,0.00 %
Skyline,San Mateo CCD,Unknown,Unknown / unreported,Unknown,,,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,1,0,0.40 %,0.00 %
